Event Date,Rainfall (cm)
10/17/2019,6.6548
10/23/2019,1.27
10/27/2019,1.7018
10/31/2019,7.493
11/24/2019,1.0922
11/28/2019,1.3716
12/10/2019,0.6604
12/15/2019,0.8636
12/28/2019,0.12
12/30/2019,0
1/3/2020,2.413
1/12/2020,warming
1/26/2020,0.6858
3/3/2020,snowmelt
3/8/2020,snowmelt
3/13/2020,1.0414
5/12/2020,1.6764
8/5/2020,6.5024
9/30/2020,5.6642
12/1/2020,2.9718
12/25/2020,2.8194
1/17/2021,2.0574
3/11/2021,snowmelt
4/16/2021,3.4544
4/22/2021,1.4351
4/30/2021,3.3782
5/6/2021,2.4892
7/2/2021,4.3942
7/3/2021,2.5654
7/9/2021,2.8194
7/13/2021,1.88
7/14/2021,0.74
7/18/2021,4.7
7/19/2021,2.77
7/21/2021,2.01
7/31/2021,1.1176
8/2/2021,3.2766
8/20/2021,need to download hobo
9/9/2021,3.2512
9/24/2021,3.2766
10/17/2021,2.4638
