"Date","Site","Runoff..m3.ha.","TP.conc","TP.load","SRP.conc","SRP.load","Drainage.Area..ha.","Event.Volume..m3."
2019-10-17,"DCNSUR",4.24276456734037,8.69450220638665,6.03020437542391,NA,NA,-0.356674943938732,3.81330703248899
2019-10-23,"DCNSUR",1.38629436111989,7.8898337513943,2.37024374146786,NA,NA,-0.356674943938732,0.955511445027436
2019-10-27,"DCNSUR",2.86220088092947,7.93379687481541,3.88977739648083,6.64509096950564,2.60268968544438,-0.356674943938732,2.43361335540045
2019-10-31,"DCNSUR",5.70478197498928,8.0802374162167,6.87729607149743,NA,NA,-0.356674943938732,5.27402467397899
2019-11-24,"DCNSUR",NA,NA,NA,NA,NA,-0.356674943938732,NA
2019-11-28,"DCNSUR",NA,NA,NA,NA,NA,-0.356674943938732,NA
2019-12-10,"DCNSUR",NA,NA,NA,NA,NA,-0.356674943938732,NA
2019-12-15,"DCNSUR",2.21920348405499,6.65929391968364,1.96009478404727,6.00141487796115,1.30833281965018,-0.356674943938732,1.79175946922805
2019-12-28,"DCNSUR",2.39789527279837,6.46458830368996,1.96009478404727,4.94875989037817,0.470003629245736,-0.356674943938732,1.97408102602201
2019-12-30,"DCNSUR",3.81109708683819,6.39024066706535,3.29212628660779,NA,NA,-0.356674943938732,3.38099467434464
2020-01-03,"DCNSUR",NA,NA,NA,NA,NA,-0.356674943938732,NA
2020-01-12,"DCNSUR",2.71469474382088,6.8351845861473,2.63905732961526,5.76205138278018,1.56861591791385,-0.356674943938732,2.28238238567653
2020-01-26,"DCNSUR",NA,NA,NA,NA,NA,-0.356674943938732,NA
2020-03-03,"DCNSUR",3.80220813942094,5.94017125272043,2.83321334405622,NA,NA,-0.356674943938732,3.37073817417745
2020-03-08,"DCNSUR",NA,NA,NA,NA,NA,-0.356674943938732,NA
2020-03-13,"DCNSUR",NA,NA,NA,NA,NA,-0.356674943938732,NA
2021-03-11,"DCNSUR",2.03218865685953,6.5563521289725,1.68639895357023,5.78320960828752,0.916290731874155,-0.430782916092454,1.60140574073684
2021-07-18,"DCNSUR",2.51022445795979,7.14677217945264,2.74727091425549,6.5792512120101,2.18605127673809,-0.430782916092454,2.07944154167984
2021-07-19,"DCNSUR",0.32764215739467,7.12286665859908,0.53062825106217,6.34212141872115,-0.22314355131421,-0.430782916092454,-0.103140758919513
2021-07-21,"DCNSUR",2.37239814057794,7.52833176670725,2.99071973173045,6.40357419793482,1.87180217690159,-0.430782916092454,1.94161522477243
2021-08-01,"DCNSUR",2.29795902462072,NA,NA,NA,NA,-0.430782916092454,1.86717610851281
2021-08-20,"DCNSUR",1.11387976074839,6.70808408385307,0.916290731874155,NA,NA,-0.430782916092454,0.683096844706444
2021-09-24,"DCNSUR",0.653926467366664,8.36404201192206,2.11625551480255,NA,NA,-0.430782916092454,0.22314355131421
2021-10-17,"DCNSUR",-0.347922152763778,NA,NA,NA,NA,-0.430782916092454,-0.778705068921592
