"ED","rainfal"
2019-10-17,NA
2019-10-23,NA
2019-10-27,NA
2019-10-31,NA
2019-11-24,NA
2019-11-28,NA
2019-12-10,NA
2019-12-15,NA
2019-12-28,NA
2019-12-30,NA
2020-01-03,NA
2020-01-12,NA
2020-01-26,NA
2020-03-03,NA
2020-03-08,NA
2020-03-13,NA
2020-05-12,NA
2020-08-05,NA
2020-09-30,NA
2020-12-01,NA
2020-12-25,NA
2021-01-17,NA
2021-03-11,NA
2021-04-16,NA
2021-04-22,NA
2021-04-30,NA
2021-05-06,NA
2021-07-02,NA
2021-07-03,NA
2021-07-09,NA
2021-07-13,NA
2021-07-14,NA
2021-07-18,NA
2021-07-19,NA
2021-07-21,NA
2021-07-31,NA
2021-08-02,NA
2021-08-20,NA
2021-09-09,NA
2021-09-24,NA
2021-10-17,NA
